Perioden;Regio's;Gemiddelde verkoopprijs (euro)
2004;Mill en Sint Hubert;262688
2005;Mill en Sint Hubert;277117
2006;Mill en Sint Hubert;290029
2007;Mill en Sint Hubert;314057
2008;Mill en Sint Hubert;325891
2009;Mill en Sint Hubert;310973
2010;Mill en Sint Hubert;292327
2011;Mill en Sint Hubert;268016
2012;Mill en Sint Hubert;241896
2013;Mill en Sint Hubert;235743
2014;Mill en Sint Hubert;226662
2015;Mill en Sint Hubert;224624
2016;Mill en Sint Hubert;231952
2017;Mill en Sint Hubert;262282
2018;Mill en Sint Hubert;306488
2019;Mill en Sint Hubert;312417
2020;Mill en Sint Hubert;332698
2021;Mill en Sint Hubert;411139
2022;Mill en Sint Hubert;
2023;Mill en Sint Hubert;
2024;Mill en Sint Hubert;
1995;Millingen aan de Rijn;81177
1996;Millingen aan de Rijn;106142
1997;Millingen aan de Rijn;114655
1998;Millingen aan de Rijn;114986
1999;Millingen aan de Rijn;152434
2000;Millingen aan de Rijn;159218
2001;Millingen aan de Rijn;193678
2002;Millingen aan de Rijn;219463
2003;Millingen aan de Rijn;221118
2004;Millingen aan de Rijn;225414
2005;Millingen aan de Rijn;252793
2006;Millingen aan de Rijn;229907
2007;Millingen aan de Rijn;234049
2008;Millingen aan de Rijn;247968
2009;Millingen aan de Rijn;190750
2010;Millingen aan de Rijn;237673
2011;Millingen aan de Rijn;236632
2012;Millingen aan de Rijn;176000
2013;Millingen aan de Rijn;198338
2014;Millingen aan de Rijn;196693
2015;Millingen aan de Rijn;
2016;Millingen aan de Rijn;
2017;Millingen aan de Rijn;
2018;Millingen aan de Rijn;
2019;Millingen aan de Rijn;
2020;Millingen aan de Rijn;
2021;Millingen aan de Rijn;
2022;Millingen aan de Rijn;
2023;Millingen aan de Rijn;
2024;Millingen aan de Rijn;
1995;Moerdijk;
1996;Moerdijk;
1997;Moerdijk;
1998;Moerdijk;140971
1999;Moerdijk;145869
2000;Moerdijk;168076
2001;Moerdijk;184628
2002;Moerdijk;206214
2003;Moerdijk;206779
2004;Moerdijk;217257
2005;Moerdijk;234621
2006;Moerdijk;232698
2007;Moerdijk;246460
2008;Moerdijk;252282
2009;Moerdijk;240432
2010;Moerdijk;223829
2011;Moerdijk;223789
2012;Moerdijk;203837
2013;Moerdijk;191218
2014;Moerdijk;193264
2015;Moerdijk;207917
2016;Moerdijk;232749
2017;Moerdijk;233959
2018;Moerdijk;250432
2019;Moerdijk;272935
2020;Moerdijk;286000
2021;Moerdijk;343613
2022;Moerdijk;381545
2023;Moerdijk;375225
2024;Moerdijk;385071
1995;Moergestel;156428
1996;Moergestel;161845
1997;Moergestel;
1998;Moergestel;
1999;Moergestel;
2000;Moergestel;
2001;Moergestel;
2002;Moergestel;
2003;Moergestel;
2004;Moergestel;
2005;Moergestel;
2006;Moergestel;
2007;Moergestel;
2008;Moergestel;
2009;Moergestel;
2010;Moergestel;
2011;Moergestel;
2012;Moergestel;
2013;Moergestel;
2014;Moergestel;
2015;Moergestel;
2016;Moergestel;
2017;Moergestel;
2018;Moergestel;
2019;Moergestel;
2020;Moergestel;
2021;Moergestel;
2022;Moergestel;
2023;Moergestel;
2024;Moergestel;
1995;Molenlanden;
1996;Molenlanden;
1997;Molenlanden;
1998;Molenlanden;
1999;Molenlanden;
2000;Molenlanden;
2001;Molenlanden;
2002;Molenlanden;
2003;Molenlanden;
2004;Molenlanden;
2005;Molenlanden;
2006;Molenlanden;
2007;Molenlanden;
2008;Molenlanden;
2009;Molenlanden;
2010;Molenlanden;
2011;Molenlanden;
2012;Molenlanden;
2013;Molenlanden;
2014;Molenlanden;
2015;Molenlanden;
2016;Molenlanden;
2017;Molenlanden;
2018;Molenlanden;
2019;Molenlanden;302028
2020;Molenlanden;337367
2021;Molenlanden;373551
2022;Molenlanden;450833
2023;Molenlanden;404893
2024;Molenlanden;462800
1995;Molenwaard;
1996;Molenwaard;
1997;Molenwaard;
1998;Molenwaard;
1999;Molenwaard;
2000;Molenwaard;
2001;Molenwaard;
2002;Molenwaard;
2003;Molenwaard;
2004;Molenwaard;
2005;Molenwaard;
2006;Molenwaard;
2007;Molenwaard;
2008;Molenwaard;
2009;Molenwaard;
2010;Molenwaard;
2011;Molenwaard;
2012;Molenwaard;
2013;Molenwaard;236653
2014;Molenwaard;228576
2015;Molenwaard;233072
2016;Molenwaard;250004
2017;Molenwaard;275031
2018;Molenwaard;296360
2019;Molenwaard;
2020;Molenwaard;
2021;Molenwaard;
2022;Molenwaard;
2023;Molenwaard;
2024;Molenwaard;
1995;Monster;116948
1996;Monster;116020
1997;Monster;122686
1998;Monster;137651
1999;Monster;164298
2000;Monster;188761
2001;Monster;203155
2002;Monster;221574
2003;Monster;232734
2004;Monster;
2005;Monster;
2006;Monster;
2007;Monster;
2008;Monster;
2009;Monster;
2010;Monster;
2011;Monster;
2012;Monster;
2013;Monster;
2014;Monster;
2015;Monster;
2016;Monster;
2017;Monster;
2018;Monster;
2019;Monster;
2020;Monster;
2021;Monster;
2022;Monster;
2023;Monster;
2024;Monster;
1995;Montferland;
1996;Montferland;
1997;Montferland;
1998;Montferland;
1999;Montferland;
2000;Montferland;
2001;Montferland;
2002;Montferland;
2003;Montferland;
2004;Montferland;
2005;Montferland;245459
2006;Montferland;260705
2007;Montferland;251084
2008;Montferland;244485
2009;Montferland;251315
2010;Montferland;248007
2011;Montferland;241083
2012;Montferland;223537
2013;Montferland;201460
2014;Montferland;205070
2015;Montferland;209455
2016;Montferland;214329
2017;Montferland;232170
2018;Montferland;250793
2019;Montferland;277385
2020;Montferland;299129
2021;Montferland;337596
2022;Montferland;386876
2023;Montferland;357759
2024;Montferland;402650
1995;Montfoort;114768
1996;Montfoort;118308
1997;Montfoort;130420
1998;Montfoort;155343
1999;Montfoort;181792
2000;Montfoort;202799
2001;Montfoort;214511
2002;Montfoort;230328
2003;Montfoort;238200
2004;Montfoort;240084
2005;Montfoort;245774
2006;Montfoort;267548
2007;Montfoort;284055
2008;Montfoort;315114
2009;Montfoort;279492
2010;Montfoort;281350
2011;Montfoort;292246
2012;Montfoort;262523
2013;Montfoort;258118
2014;Montfoort;231091
2015;Montfoort;254345
2016;Montfoort;279138
2017;Montfoort;292751
2018;Montfoort;320009
2019;Montfoort;337359
2020;Montfoort;353781
2021;Montfoort;422345
2022;Montfoort;458538
2023;Montfoort;478504
2024;Montfoort;530539
1995;Mook en Middelaar;122668
1996;Mook en Middelaar;142957
1997;Mook en Middelaar;147937
1998;Mook en Middelaar;172478
1999;Mook en Middelaar;207556
2000;Mook en Middelaar;177826
2001;Mook en Middelaar;256215
2002;Mook en Middelaar;270771
2003;Mook en Middelaar;254106
2004;Mook en Middelaar;270952
2005;Mook en Middelaar;278892
2006;Mook en Middelaar;305997
2007;Mook en Middelaar;334005
2008;Mook en Middelaar;323623
2009;Mook en Middelaar;351195
2010;Mook en Middelaar;273056
2011;Mook en Middelaar;286058
2012;Mook en Middelaar;313607
2013;Mook en Middelaar;225436
2014;Mook en Middelaar;250585
2015;Mook en Middelaar;298437
2016;Mook en Middelaar;269317
2017;Mook en Middelaar;311447
2018;Mook en Middelaar;298959
2019;Mook en Middelaar;339042
2020;Mook en Middelaar;362062
2021;Mook en Middelaar;452951
2022;Mook en Middelaar;452833
2023;Mook en Middelaar;456031
2024;Mook en Middelaar;500990
1995;Moordrecht;103289
1996;Moordrecht;106496
1997;Moordrecht;138388
1998;Moordrecht;138534
1999;Moordrecht;155291
2000;Moordrecht;184613
2001;Moordrecht;207641
2002;Moordrecht;237441
2003;Moordrecht;199965
2004;Moordrecht;232442
2005;Moordrecht;228117
2006;Moordrecht;266305
2007;Moordrecht;256653
2008;Moordrecht;278114
2009;Moordrecht;250689
2010;Moordrecht;
2011;Moordrecht;
2012;Moordrecht;
2013;Moordrecht;
2014;Moordrecht;
2015;Moordrecht;
2016;Moordrecht;
2017;Moordrecht;
2018;Moordrecht;
2019;Moordrecht;
2020;Moordrecht;
2021;Moordrecht;
2022;Moordrecht;
2023;Moordrecht;
2024;Moordrecht;
1995;Muiden;129705
1996;Muiden;144033
1997;Muiden;175301
1998;Muiden;191222
1999;Muiden;234765
2000;Muiden;315356
2001;Muiden;329086
2002;Muiden;302536
2003;Muiden;318592
2004;Muiden;309580
2005;Muiden;337798
2006;Muiden;368510
2007;Muiden;403362
2008;Muiden;456333
2009;Muiden;394413
2010;Muiden;342527
2011;Muiden;419076
2012;Muiden;379197
2013;Muiden;353954
2014;Muiden;305100
2015;Muiden;273361
2016;Muiden;
2017;Muiden;
2018;Muiden;
2019;Muiden;
2020;Muiden;
2021;Muiden;
2022;Muiden;
2023;Muiden;
2024;Muiden;
1995;Naaldwijk;116665
1996;Naaldwijk;136839
1997;Naaldwijk;146973
1998;Naaldwijk;145364
1999;Naaldwijk;169968
2000;Naaldwijk;200629
2001;Naaldwijk;226766
2002;Naaldwijk;234765
2003;Naaldwijk;247554
2004;Naaldwijk;
2005;Naaldwijk;
2006;Naaldwijk;
2007;Naaldwijk;
2008;Naaldwijk;
2009;Naaldwijk;
2010;Naaldwijk;
2011;Naaldwijk;
2012;Naaldwijk;
2013;Naaldwijk;
2014;Naaldwijk;
2015;Naaldwijk;
2016;Naaldwijk;
2017;Naaldwijk;
2018;Naaldwijk;
2019;Naaldwijk;
2020;Naaldwijk;
2021;Naaldwijk;
2022;Naaldwijk;
2023;Naaldwijk;
2024;Naaldwijk;
1995;Naarden;155451
1996;Naarden;171155
1997;Naarden;197489
1998;Naarden;228360
1999;Naarden;282468
2000;Naarden;347246
2001;Naarden;377690
2002;Naarden;396430
2003;Naarden;337189
2004;Naarden;401620
2005;Naarden;400190
2006;Naarden;454813
2007;Naarden;497562
2008;Naarden;471650
2009;Naarden;497899
2010;Naarden;470051
2011;Naarden;515252
2012;Naarden;457369
2013;Naarden;402369
2014;Naarden;436970
2015;Naarden;471893
2016;Naarden;
2017;Naarden;
2018;Naarden;
2019;Naarden;
2020;Naarden;
2021;Naarden;
2022;Naarden;
2023;Naarden;
2024;Naarden;
1995;Neder-Betuwe;
1996;Neder-Betuwe;
1997;Neder-Betuwe;
1998;Neder-Betuwe;
1999;Neder-Betuwe;
2000;Neder-Betuwe;
2001;Neder-Betuwe;
2002;Neder-Betuwe;
2003;Neder-Betuwe;232987
2004;Neder-Betuwe;254010
2005;Neder-Betuwe;265475
2006;Neder-Betuwe;278753
2007;Neder-Betuwe;281607
2008;Neder-Betuwe;286242
2009;Neder-Betuwe;275358
2010;Neder-Betuwe;266565
2011;Neder-Betuwe;259037
2012;Neder-Betuwe;247799
2013;Neder-Betuwe;228111
2014;Neder-Betuwe;232241
2015;Neder-Betuwe;221278
2016;Neder-Betuwe;250270
2017;Neder-Betuwe;259830
2018;Neder-Betuwe;268898
2019;Neder-Betuwe;309005
2020;Neder-Betuwe;333167
2021;Neder-Betuwe;397599
2022;Neder-Betuwe;432118
2023;Neder-Betuwe;410710
2024;Neder-Betuwe;507447
1995;Nederhorst den Berg;131451
1996;Nederhorst den Berg;131571
1997;Nederhorst den Berg;161205
1998;Nederhorst den Berg;211206
1999;Nederhorst den Berg;233113
2000;Nederhorst den Berg;299291
2001;Nederhorst den Berg;260971
2002;Nederhorst den Berg;
2003;Nederhorst den Berg;
2004;Nederhorst den Berg;
2005;Nederhorst den Berg;
2006;Nederhorst den Berg;
2007;Nederhorst den Berg;
2008;Nederhorst den Berg;
2009;Nederhorst den Berg;
2010;Nederhorst den Berg;
2011;Nederhorst den Berg;
2012;Nederhorst den Berg;
2013;Nederhorst den Berg;
2014;Nederhorst den Berg;
2015;Nederhorst den Berg;
2016;Nederhorst den Berg;
2017;Nederhorst den Berg;
2018;Nederhorst den Berg;
2019;Nederhorst den Berg;
2020;Nederhorst den Berg;
2021;Nederhorst den Berg;
2022;Nederhorst den Berg;
2023;Nederhorst den Berg;
2024;Nederhorst den Berg;
1995;Nederlek;103806
1996;Nederlek;109736
1997;Nederlek;120864
1998;Nederlek;129847
1999;Nederlek;156214
2000;Nederlek;175050
2001;Nederlek;195658
2002;Nederlek;201245
2003;Nederlek;213713
2004;Nederlek;235907
2005;Nederlek;243176
2006;Nederlek;240095
2007;Nederlek;273053
2008;Nederlek;245230
2009;Nederlek;220790
2010;Nederlek;259738
2011;Nederlek;218732
2012;Nederlek;207593
2013;Nederlek;200588
2014;Nederlek;212503
2015;Nederlek;
2016;Nederlek;
2017;Nederlek;
2018;Nederlek;
2019;Nederlek;
2020;Nederlek;
2021;Nederlek;
2022;Nederlek;
2023;Nederlek;
2024;Nederlek;
1995;Nederweert;107773
1996;Nederweert;115851
1997;Nederweert;133468
1998;Nederweert;152969
1999;Nederweert;176475
2000;Nederweert;205679
2001;Nederweert;229996
2002;Nederweert;231299
2003;Nederweert;235521
2004;Nederweert;249770
2005;Nederweert;245513
2006;Nederweert;251756
2007;Nederweert;258133
2008;Nederweert;280808
2009;Nederweert;235363
2010;Nederweert;247408
2011;Nederweert;250196
2012;Nederweert;210649
2013;Nederweert;222741
2014;Nederweert;225930
2015;Nederweert;233255
2016;Nederweert;245425
2017;Nederweert;255688
2018;Nederweert;291567
2019;Nederweert;283744
2020;Nederweert;322041
2021;Nederweert;383234
2022;Nederweert;431826
2023;Nederweert;391462
2024;Nederweert;441889
1995;Neede;88746
1996;Neede;96002
1997;Neede;101591
1998;Neede;106305
1999;Neede;144548
2000;Neede;174329
2001;Neede;183771
2002;Neede;174957
2003;Neede;179920
2004;Neede;218303
2005;Neede;
2006;Neede;
2007;Neede;
2008;Neede;
2009;Neede;
2010;Neede;
2011;Neede;
2012;Neede;
2013;Neede;
2014;Neede;
2015;Neede;
2016;Neede;
2017;Neede;
2018;Neede;
2019;Neede;
2020;Neede;
2021;Neede;
2022;Neede;
2023;Neede;
2024;Neede;
1995;Neerijnen;118994
1996;Neerijnen;127067
1997;Neerijnen;149595
1998;Neerijnen;178898
1999;Neerijnen;183225
2000;Neerijnen;243727
2001;Neerijnen;242963
2002;Neerijnen;256567
2003;Neerijnen;301527
2004;Neerijnen;273495
2005;Neerijnen;293721
2006;Neerijnen;304153
2007;Neerijnen;333286
2008;Neerijnen;363174
2009;Neerijnen;306388
2010;Neerijnen;273355
2011;Neerijnen;276812
2012;Neerijnen;257655
2013;Neerijnen;236019
2014;Neerijnen;257776
2015;Neerijnen;234806
2016;Neerijnen;264662
2017;Neerijnen;264874
2018;Neerijnen;296235
2019;Neerijnen;
2020;Neerijnen;
2021;Neerijnen;
2022;Neerijnen;
2023;Neerijnen;
2024;Neerijnen;
1995;Niedorp;86744
1996;Niedorp;103900
1997;Niedorp;123928
1998;Niedorp;135066
1999;Niedorp;167593
2000;Niedorp;195653
2001;Niedorp;229098
2002;Niedorp;236930
2003;Niedorp;235056
2004;Niedorp;243982
2005;Niedorp;274279
2006;Niedorp;242921
2007;Niedorp;273905
2008;Niedorp;281110
2009;Niedorp;251742
2010;Niedorp;222653
2011;Niedorp;262168
2012;Niedorp;
2013;Niedorp;
2014;Niedorp;
2015;Niedorp;
2016;Niedorp;
2017;Niedorp;
2018;Niedorp;
2019;Niedorp;
2020;Niedorp;
2021;Niedorp;
2022;Niedorp;
2023;Niedorp;
2024;Niedorp;
1995;Nieuwegein;97345
1996;Nieuwegein;100086
1997;Nieuwegein;118669
1998;Nieuwegein;131229
1999;Nieuwegein;155860
2000;Nieuwegein;172773
2001;Nieuwegein;182683
2002;Nieuwegein;187202
2003;Nieuwegein;198054
2004;Nieuwegein;199758
2005;Nieuwegein;206301
2006;Nieuwegein;214311
2007;Nieuwegein;225475
2008;Nieuwegein;231134
2009;Nieuwegein;223460
2010;Nieuwegein;212121
2011;Nieuwegein;204924
2012;Nieuwegein;196565
2013;Nieuwegein;179956
2014;Nieuwegein;189160
2015;Nieuwegein;190917
2016;Nieuwegein;212302
2017;Nieuwegein;241070
2018;Nieuwegein;258151
2019;Nieuwegein;278325
2020;Nieuwegein;298058
2021;Nieuwegein;362749
2022;Nieuwegein;403946
2023;Nieuwegein;385704
2024;Nieuwegein;411577
1995;Nieuwerkerk aan den IJssel;111961
1996;Nieuwerkerk aan den IJssel;127155
1997;Nieuwerkerk aan den IJssel;131725
1998;Nieuwerkerk aan den IJssel;142223
1999;Nieuwerkerk aan den IJssel;170952
2000;Nieuwerkerk aan den IJssel;187318
2001;Nieuwerkerk aan den IJssel;212286
2002;Nieuwerkerk aan den IJssel;251626
2003;Nieuwerkerk aan den IJssel;243354
2004;Nieuwerkerk aan den IJssel;241995
2005;Nieuwerkerk aan den IJssel;269657
2006;Nieuwerkerk aan den IJssel;270665
2007;Nieuwerkerk aan den IJssel;282906
2008;Nieuwerkerk aan den IJssel;265862
2009;Nieuwerkerk aan den IJssel;262663
2010;Nieuwerkerk aan den IJssel;
2011;Nieuwerkerk aan den IJssel;
2012;Nieuwerkerk aan den IJssel;
2013;Nieuwerkerk aan den IJssel;
2014;Nieuwerkerk aan den IJssel;
2015;Nieuwerkerk aan den IJssel;
2016;Nieuwerkerk aan den IJssel;
2017;Nieuwerkerk aan den IJssel;
2018;Nieuwerkerk aan den IJssel;
2019;Nieuwerkerk aan den IJssel;
2020;Nieuwerkerk aan den IJssel;
2021;Nieuwerkerk aan den IJssel;
2022;Nieuwerkerk aan den IJssel;
2023;Nieuwerkerk aan den IJssel;
2024;Nieuwerkerk aan den IJssel;
1995;Nieuw-Ginneken;154976
1996;Nieuw-Ginneken;172479
1997;Nieuw-Ginneken;
1998;Nieuw-Ginneken;
1999;Nieuw-Ginneken;
2000;Nieuw-Ginneken;
2001;Nieuw-Ginneken;
2002;Nieuw-Ginneken;
2003;Nieuw-Ginneken;
2004;Nieuw-Ginneken;
2005;Nieuw-Ginneken;
2006;Nieuw-Ginneken;
2007;Nieuw-Ginneken;
2008;Nieuw-Ginneken;
2009;Nieuw-Ginneken;
2010;Nieuw-Ginneken;
2011;Nieuw-Ginneken;
2012;Nieuw-Ginneken;
2013;Nieuw-Ginneken;
2014;Nieuw-Ginneken;
2015;Nieuw-Ginneken;
2016;Nieuw-Ginneken;
2017;Nieuw-Ginneken;
2018;Nieuw-Ginneken;
2019;Nieuw-Ginneken;
2020;Nieuw-Ginneken;
2021;Nieuw-Ginneken;
2022;Nieuw-Ginneken;
2023;Nieuw-Ginneken;
2024;Nieuw-Ginneken;
1995;Nieuwkoop;128761
1996;Nieuwkoop;134427
1997;Nieuwkoop;146653
1998;Nieuwkoop;187216
1999;Nieuwkoop;218979
2000;Nieuwkoop;224952
2001;Nieuwkoop;258023
2002;Nieuwkoop;252197
2003;Nieuwkoop;249241
2004;Nieuwkoop;249470
2005;Nieuwkoop;335965
2006;Nieuwkoop;298059
2007;Nieuwkoop;303619
2008;Nieuwkoop;306505
2009;Nieuwkoop;304792
2010;Nieuwkoop;317352
2011;Nieuwkoop;296673
2012;Nieuwkoop;234473
2013;Nieuwkoop;256610
2014;Nieuwkoop;221867
2015;Nieuwkoop;262952
2016;Nieuwkoop;262665
2017;Nieuwkoop;290224
2018;Nieuwkoop;327495
2019;Nieuwkoop;344377
2020;Nieuwkoop;370084
2021;Nieuwkoop;454250
2022;Nieuwkoop;458795
2023;Nieuwkoop;468956
2024;Nieuwkoop;530206
1995;Nieuw-Lekkerland;89548
1996;Nieuw-Lekkerland;101833
1997;Nieuw-Lekkerland;102564
1998;Nieuw-Lekkerland;113200
1999;Nieuw-Lekkerland;137504
2000;Nieuw-Lekkerland;164460
2001;Nieuw-Lekkerland;171149
2002;Nieuw-Lekkerland;190268
2003;Nieuw-Lekkerland;192013
2004;Nieuw-Lekkerland;210173
2005;Nieuw-Lekkerland;229197
2006;Nieuw-Lekkerland;235565
2007;Nieuw-Lekkerland;225048
2008;Nieuw-Lekkerland;244754
2009;Nieuw-Lekkerland;209345
2010;Nieuw-Lekkerland;225871
2011;Nieuw-Lekkerland;235794
2012;Nieuw-Lekkerland;206701
2013;Nieuw-Lekkerland;
2014;Nieuw-Lekkerland;
2015;Nieuw-Lekkerland;
2016;Nieuw-Lekkerland;
2017;Nieuw-Lekkerland;
2018;Nieuw-Lekkerland;
2019;Nieuw-Lekkerland;
2020;Nieuw-Lekkerland;
2021;Nieuw-Lekkerland;
2022;Nieuw-Lekkerland;
2023;Nieuw-Lekkerland;
2024;Nieuw-Lekkerland;
1995;Nieuwleusen;114919
1996;Nieuwleusen;126830
1997;Nieuwleusen;124403
1998;Nieuwleusen;160533
1999;Nieuwleusen;172700
2000;Nieuwleusen;222082
2001;Nieuwleusen;
2002;Nieuwleusen;
2003;Nieuwleusen;
2004;Nieuwleusen;
2005;Nieuwleusen;
2006;Nieuwleusen;
2007;Nieuwleusen;
2008;Nieuwleusen;
2009;Nieuwleusen;
2010;Nieuwleusen;
2011;Nieuwleusen;
2012;Nieuwleusen;
2013;Nieuwleusen;
2014;Nieuwleusen;
2015;Nieuwleusen;
2016;Nieuwleusen;
2017;Nieuwleusen;
2018;Nieuwleusen;
2019;Nieuwleusen;
2020;Nieuwleusen;
2021;Nieuwleusen;
2022;Nieuwleusen;
2023;Nieuwleusen;
2024;Nieuwleusen;
1995;Nieuw-Vossemeer;88576
1996;Nieuw-Vossemeer;86239
1997;Nieuw-Vossemeer;
1998;Nieuw-Vossemeer;
1999;Nieuw-Vossemeer;
2000;Nieuw-Vossemeer;
2001;Nieuw-Vossemeer;
2002;Nieuw-Vossemeer;
2003;Nieuw-Vossemeer;
2004;Nieuw-Vossemeer;
2005;Nieuw-Vossemeer;
2006;Nieuw-Vossemeer;
2007;Nieuw-Vossemeer;
2008;Nieuw-Vossemeer;
2009;Nieuw-Vossemeer;
2010;Nieuw-Vossemeer;
2011;Nieuw-Vossemeer;
2012;Nieuw-Vossemeer;
2013;Nieuw-Vossemeer;
2014;Nieuw-Vossemeer;
2015;Nieuw-Vossemeer;
2016;Nieuw-Vossemeer;
2017;Nieuw-Vossemeer;
2018;Nieuw-Vossemeer;
2019;Nieuw-Vossemeer;
2020;Nieuw-Vossemeer;
2021;Nieuw-Vossemeer;
2022;Nieuw-Vossemeer;
2023;Nieuw-Vossemeer;
2024;Nieuw-Vossemeer;
1995;Nijefurd;62317
1996;Nijefurd;77165
1997;Nijefurd;81956
1998;Nijefurd;95189
1999;Nijefurd;119118
2000;Nijefurd;148040
2001;Nijefurd;146523
2002;Nijefurd;194345
2003;Nijefurd;175452
2004;Nijefurd;195052
2005;Nijefurd;193308
2006;Nijefurd;205410
2007;Nijefurd;211356
2008;Nijefurd;220110
2009;Nijefurd;192950
2010;Nijefurd;200643
2011;Nijefurd;
2012;Nijefurd;
2013;Nijefurd;
2014;Nijefurd;
2015;Nijefurd;
2016;Nijefurd;
2017;Nijefurd;
2018;Nijefurd;
2019;Nijefurd;
2020;Nijefurd;
2021;Nijefurd;
2022;Nijefurd;
2023;Nijefurd;
2024;Nijefurd;
1995;Nijeveen;94339
1996;Nijeveen;85534
1997;Nijeveen;116992
1998;Nijeveen;
1999;Nijeveen;
2000;Nijeveen;
2001;Nijeveen;
2002;Nijeveen;
2003;Nijeveen;
2004;Nijeveen;
2005;Nijeveen;
2006;Nijeveen;
2007;Nijeveen;
2008;Nijeveen;
2009;Nijeveen;
2010;Nijeveen;
2011;Nijeveen;
2012;Nijeveen;
2013;Nijeveen;
2014;Nijeveen;
2015;Nijeveen;
2016;Nijeveen;
2017;Nijeveen;
2018;Nijeveen;
2019;Nijeveen;
2020;Nijeveen;
2021;Nijeveen;
2022;Nijeveen;
2023;Nijeveen;
2024;Nijeveen;
1995;Nijkerk;108674
1996;Nijkerk;123436
1997;Nijkerk;134597
1998;Nijkerk;140687
1999;Nijkerk;168806
2000;Nijkerk;229611
2001;Nijkerk;231766
2002;Nijkerk;251080
2003;Nijkerk;243089
2004;Nijkerk;256270
2005;Nijkerk;261562
2006;Nijkerk;290246
2007;Nijkerk;294297
2008;Nijkerk;299174
2009;Nijkerk;280059
2010;Nijkerk;257729
2011;Nijkerk;268267
2012;Nijkerk;255345
2013;Nijkerk;238966
2014;Nijkerk;253273
2015;Nijkerk;260942
2016;Nijkerk;274217
2017;Nijkerk;301966
2018;Nijkerk;329274
2019;Nijkerk;354348
2020;Nijkerk;389649
2021;Nijkerk;426642
2022;Nijkerk;480123
2023;Nijkerk;478370
2024;Nijkerk;531289
1995;Nijmegen;86001
1996;Nijmegen;96608
1997;Nijmegen;109471
1998;Nijmegen;122620
1999;Nijmegen;143761
2000;Nijmegen;164384
2001;Nijmegen;182641
2002;Nijmegen;191939
2003;Nijmegen;202174
2004;Nijmegen;204530
2005;Nijmegen;212454
2006;Nijmegen;224848
2007;Nijmegen;232629
2008;Nijmegen;240118
2009;Nijmegen;231389
2010;Nijmegen;226928
2011;Nijmegen;225197
2012;Nijmegen;216593
2013;Nijmegen;204936
2014;Nijmegen;206906
2015;Nijmegen;213740
2016;Nijmegen;224355
2017;Nijmegen;248912
2018;Nijmegen;272304
2019;Nijmegen;293780
2020;Nijmegen;323659
2021;Nijmegen;364849
2022;Nijmegen;412448
2023;Nijmegen;396340
2024;Nijmegen;424665
1995;Nissewaard;
1996;Nissewaard;
1997;Nissewaard;
1998;Nissewaard;
1999;Nissewaard;
2000;Nissewaard;
2001;Nissewaard;
2002;Nissewaard;
2003;Nissewaard;
2004;Nissewaard;
2005;Nissewaard;
2006;Nissewaard;
2007;Nissewaard;
2008;Nissewaard;
2009;Nissewaard;
2010;Nissewaard;
2011;Nissewaard;
2012;Nissewaard;
2013;Nissewaard;
2014;Nissewaard;
2015;Nissewaard;180489
2016;Nissewaard;189291
2017;Nissewaard;195265
2018;Nissewaard;215817
2019;Nissewaard;237789
2020;Nissewaard;266765
2021;Nissewaard;296986
2022;Nissewaard;340657
2023;Nissewaard;335318
2024;Nissewaard;370386
1995;Noardeast-Fryslân;
1996;Noardeast-Fryslân;
1997;Noardeast-Fryslân;
1998;Noardeast-Fryslân;
1999;Noardeast-Fryslân;
2000;Noardeast-Fryslân;
2001;Noardeast-Fryslân;
2002;Noardeast-Fryslân;
2003;Noardeast-Fryslân;
2004;Noardeast-Fryslân;
2005;Noardeast-Fryslân;
2006;Noardeast-Fryslân;
2007;Noardeast-Fryslân;
2008;Noardeast-Fryslân;
2009;Noardeast-Fryslân;
2010;Noardeast-Fryslân;
2011;Noardeast-Fryslân;
2012;Noardeast-Fryslân;
2013;Noardeast-Fryslân;
2014;Noardeast-Fryslân;
2015;Noardeast-Fryslân;
2016;Noardeast-Fryslân;
2017;Noardeast-Fryslân;
2018;Noardeast-Fryslân;
2019;Noardeast-Fryslân;194819
2020;Noardeast-Fryslân;215494
2021;Noardeast-Fryslân;253816
2022;Noardeast-Fryslân;276733
2023;Noardeast-Fryslân;279101
2024;Noardeast-Fryslân;316349
1995;Noord-Beveland;75235
1996;Noord-Beveland;87772
1997;Noord-Beveland;90008
1998;Noord-Beveland;90967
1999;Noord-Beveland;106347
2000;Noord-Beveland;121393
2001;Noord-Beveland;157191
2002;Noord-Beveland;152127
2003;Noord-Beveland;166879
2004;Noord-Beveland;172101
2005;Noord-Beveland;211785
2006;Noord-Beveland;203135
2007;Noord-Beveland;246519
2008;Noord-Beveland;196402
2009;Noord-Beveland;173519
2010;Noord-Beveland;207116
2011;Noord-Beveland;192579
2012;Noord-Beveland;194132
2013;Noord-Beveland;201035
2014;Noord-Beveland;188459
2015;Noord-Beveland;187695
2016;Noord-Beveland;184198
2017;Noord-Beveland;209737
2018;Noord-Beveland;234284
2019;Noord-Beveland;238056
2020;Noord-Beveland;302133
2021;Noord-Beveland;326869
2022;Noord-Beveland;332784
2023;Noord-Beveland;314504
2024;Noord-Beveland;346144
1995;Noordenveld;
1996;Noordenveld;
1997;Noordenveld;
1998;Noordenveld;113021
1999;Noordenveld;137426
2000;Noordenveld;159800
2001;Noordenveld;185672
