"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2019";"Valkenisse";""
"2020";"Valkenisse";""
"2021";"Valkenisse";""
"2022";"Valkenisse";""
"2023";"Valkenisse";""
"2024";"Valkenisse";""
"2025";"Valkenisse";""
"1995";"Valkenswaard";"     591"
"1996";"Valkenswaard";"     596"
"1997";"Valkenswaard";"     571"
"1998";"Valkenswaard";"     569"
"1999";"Valkenswaard";"     567"
"2000";"Valkenswaard";"     566"
"2001";"Valkenswaard";"     564"
"2002";"Valkenswaard";"     567"
"2003";"Valkenswaard";"     566"
"2004";"Valkenswaard";"     565"
"2005";"Valkenswaard";"     565"
"2006";"Valkenswaard";"     563"
"2007";"Valkenswaard";"     562"
"2008";"Valkenswaard";"     561"
"2009";"Valkenswaard";"     561"
"2010";"Valkenswaard";"     559"
"2011";"Valkenswaard";"     557"
"2012";"Valkenswaard";"     557"
"2013";"Valkenswaard";"     557"
"2014";"Valkenswaard";"     552"
"2015";"Valkenswaard";"     551"
"2016";"Valkenswaard";"     551"
"2017";"Valkenswaard";"     556"
"2018";"Valkenswaard";"     558"
"2019";"Valkenswaard";"     563"
"2020";"Valkenswaard";"     568"
"2021";"Valkenswaard";"     569"
"2022";"Valkenswaard";"     569"
"2023";"Valkenswaard";"     574"
"2024";"Valkenswaard";"     578"
"2025";"Valkenswaard";""
"1995";"Veendam";"     365"
"1996";"Veendam";"     368"
"1997";"Veendam";"     373"
"1998";"Veendam";"     371"
"1999";"Veendam";"     367"
"2000";"Veendam";"     368"
"2001";"Veendam";"     370"
"2002";"Veendam";"     369"
"2003";"Veendam";"     372"
"2004";"Veendam";"     371"
"2005";"Veendam";"     371"
"2006";"Veendam";"     370"
"2007";"Veendam";"     369"
"2008";"Veendam";"     368"
"2009";"Veendam";"     368"
"2010";"Veendam";"     368"
"2011";"Veendam";"     368"
"2012";"Veendam";"     367"
"2013";"Veendam";"     367"
"2014";"Veendam";"     366"
"2015";"Veendam";"     364"
"2016";"Veendam";"     361"
"2017";"Veendam";"     362"
"2018";"Veendam";"     362"
"2019";"Veendam";"     362"
"2020";"Veendam";"     360"
"2021";"Veendam";"     361"
"2022";"Veendam";"     362"
"2023";"Veendam";"     364"
"2024";"Veendam";"     362"
"2025";"Veendam";""
"1995";"Veenendaal";"    3028"
"1996";"Veenendaal";"    3101"
"1997";"Veenendaal";"    3176"
"1998";"Veenendaal";"    2959"
"1999";"Veenendaal";"    3010"
"2000";"Veenendaal";"    3049"
"2001";"Veenendaal";"    3075"
"2002";"Veenendaal";"    3089"
"2003";"Veenendaal";"    3108"
"2004";"Veenendaal";"    3116"
"2005";"Veenendaal";"    3130"
"2006";"Veenendaal";"    3146"
"2007";"Veenendaal";"    3148"
"2008";"Veenendaal";"    3152"
"2009";"Veenendaal";"    3164"
"2010";"Veenendaal";"    3166"
"2011";"Veenendaal";"    3191"
"2012";"Veenendaal";"    3222"
"2013";"Veenendaal";"    3232"
"2014";"Veenendaal";"    3243"
"2015";"Veenendaal";"    3253"
"2016";"Veenendaal";"    3275"
"2017";"Veenendaal";"    3299"
"2018";"Veenendaal";"    3336"
"2019";"Veenendaal";"    3370"
"2020";"Veenendaal";"    3417"
"2021";"Veenendaal";"    3438"
"2022";"Veenendaal";"    3484"
"2023";"Veenendaal";"    3528"
"2024";"Veenendaal";"    3575"
"2025";"Veenendaal";""
"1995";"Veere";"     126"
"1996";"Veere";"     127"
"1997";"Veere";"     167"
"1998";"Veere";"     167"
"1999";"Veere";"     167"
"2000";"Veere";"     166"
"2001";"Veere";"     166"
"2002";"Veere";"     166"
"2003";"Veere";"     166"
"2004";"Veere";"     166"
"2005";"Veere";"     166"
"2006";"Veere";"     165"
"2007";"Veere";"     165"
"2008";"Veere";"     165"
"2009";"Veere";"     165"
"2010";"Veere";"     165"
"2011";"Veere";"     165"
"2012";"Veere";"     165"
"2013";"Veere";"     165"
"2014";"Veere";"     164"
"2015";"Veere";"     165"
"2016";"Veere";"     165"
"2017";"Veere";"     165"
"2018";"Veere";"     165"
"2019";"Veere";"     165"
"2020";"Veere";"     165"
"2021";"Veere";"     166"
"2022";"Veere";"     164"
"2023";"Veere";"     166"
"2024";"Veere";"     166"
"2025";"Veere";""
"1995";"Veghel";"     439"
"1996";"Veghel";"     443"
"1997";"Veghel";"     446"
"1998";"Veghel";"     452"
"1999";"Veghel";"     457"
"2000";"Veghel";"     462"
"2001";"Veghel";"     465"
"2002";"Veghel";"     466"
"2003";"Veghel";"     466"
"2004";"Veghel";"     471"
"2005";"Veghel";"     472"
"2006";"Veghel";"     471"
"2007";"Veghel";"     470"
"2008";"Veghel";"     472"
"2009";"Veghel";"     475"
"2010";"Veghel";"     477"
"2011";"Veghel";"     479"
"2012";"Veghel";"     480"
"2013";"Veghel";"     479"
"2014";"Veghel";"     479"
"2015";"Veghel";"     483"
"2016";"Veghel";"     487"
"2017";"Veghel";""
"2018";"Veghel";""
"2019";"Veghel";""
"2020";"Veghel";""
"2021";"Veghel";""
"2022";"Veghel";""
"2023";"Veghel";""
"2024";"Veghel";""
"2025";"Veghel";""
"1995";"Veldhoven";"    1262"
"1996";"Veldhoven";"    1190"
"1997";"Veldhoven";"    1287"
"1998";"Veldhoven";"    1308"
"1999";"Veldhoven";"    1318"
"2000";"Veldhoven";"    1325"
"2001";"Veldhoven";"    1341"
"2002";"Veldhoven";"    1348"
"2003";"Veldhoven";"    1349"
"2004";"Veldhoven";"    1341"
"2005";"Veldhoven";"    1348"
"2006";"Veldhoven";"    1378"
"2007";"Veldhoven";"    1365"
"2008";"Veldhoven";"    1357"
"2009";"Veldhoven";"    1356"
"2010";"Veldhoven";"    1363"
"2011";"Veldhoven";"    1374"
"2012";"Veldhoven";"    1383"
"2013";"Veldhoven";"    1390"
"2014";"Veldhoven";"    1392"
"2015";"Veldhoven";"    1392"
"2016";"Veldhoven";"    1397"
"2017";"Veldhoven";"    1411"
"2018";"Veldhoven";"    1418"
"2019";"Veldhoven";"    1431"
"2020";"Veldhoven";"    1435"
"2021";"Veldhoven";"    1436"
"2022";"Veldhoven";"    1446"
"2023";"Veldhoven";"    1465"
"2024";"Veldhoven";"    1478"
"2025";"Veldhoven";""
"1995";"Velsen";"    1428"
"1996";"Velsen";"    1450"
"1997";"Velsen";"    1472"
"1998";"Velsen";"    1476"
"1999";"Velsen";"    1474"
"2000";"Velsen";"    1499"
"2001";"Velsen";"    1509"
"2002";"Velsen";"    1518"
"2003";"Velsen";"    1520"
"2004";"Velsen";"    1523"
"2005";"Velsen";"    1520"
"2006";"Velsen";"    1514"
"2007";"Velsen";"    1513"
"2008";"Velsen";"    1511"
"2009";"Velsen";"    1513"
"2010";"Velsen";"    1507"
"2011";"Velsen";"    1511"
"2012";"Velsen";"    1503"
"2013";"Velsen";"    1499"
"2014";"Velsen";"    1501"
"2015";"Velsen";"    1500"
"2016";"Velsen";"    1506"
"2017";"Velsen";"    1509"
"2018";"Velsen";"    1501"
"2019";"Velsen";"    1512"
"2020";"Velsen";"    1519"
"2021";"Velsen";"    1518"
"2022";"Velsen";"    1521"
"2023";"Velsen";"    1528"
"2024";"Velsen";"    1538"
"2025";"Velsen";""
"1995";"Venhuizen";"     208"
"1996";"Venhuizen";"     207"
"1997";"Venhuizen";"     206"
"1998";"Venhuizen";"     209"
"1999";"Venhuizen";"     215"
"2000";"Venhuizen";"     217"
"2001";"Venhuizen";"     222"
"2002";"Venhuizen";"     223"
"2003";"Venhuizen";"     224"
"2004";"Venhuizen";"     222"
"2005";"Venhuizen";"     221"
"2006";"Venhuizen";""
"2007";"Venhuizen";""
"2008";"Venhuizen";""
"2009";"Venhuizen";""
"2010";"Venhuizen";""
"2011";"Venhuizen";""
"2012";"Venhuizen";""
"2013";"Venhuizen";""
"2014";"Venhuizen";""
"2015";"Venhuizen";""
"2016";"Venhuizen";""
"2017";"Venhuizen";""
"2018";"Venhuizen";""
"2019";"Venhuizen";""
"2020";"Venhuizen";""
"2021";"Venhuizen";""
"2022";"Venhuizen";""
"2023";"Venhuizen";""
"2024";"Venhuizen";""
"2025";"Venhuizen";""
"1995";"Venlo";"    1240"
"1996";"Venlo";"    1217"
"1997";"Venlo";"    1211"
"1998";"Venlo";"    1211"
"1999";"Venlo";"    1214"
"2000";"Venlo";"    1220"
"2001";"Venlo";"    1067"
"2002";"Venlo";"    1078"
"2003";"Venlo";"    1084"
"2004";"Venlo";"    1088"
"2005";"Venlo";"    1090"
"2006";"Venlo";"    1088"
"2007";"Venlo";"    1088"
"2008";"Venlo";"    1086"
"2009";"Venlo";"    1080"
"2010";"Venlo";"     802"
"2011";"Venlo";"     799"
"2012";"Venlo";"     800"
"2013";"Venlo";"     803"
"2014";"Venlo";"     806"
"2015";"Venlo";"     806"
"2016";"Venlo";"     807"
"2017";"Venlo";"     812"
"2018";"Venlo";"     814"
"2019";"Venlo";"     818"
"2020";"Venlo";"     819"
"2021";"Venlo";"     821"
"2022";"Venlo";"     823"
"2023";"Venlo";"     832"
"2024";"Venlo";"     836"
"2025";"Venlo";""
"1995";"Venray";"     246"
"1996";"Venray";"     249"
"1997";"Venray";"     251"
"1998";"Venray";"     254"
"1999";"Venray";"     257"
"2000";"Venray";"     259"
"2001";"Venray";"     261"
"2002";"Venray";"     264"
"2003";"Venray";"     269"
"2004";"Venray";"     268"
"2005";"Venray";"     268"
"2006";"Venray";"     268"
"2007";"Venray";"     268"
"2008";"Venray";"     268"
"2009";"Venray";"     269"
"2010";"Venray";"     261"
"2011";"Venray";"     262"
"2012";"Venray";"     263"
"2013";"Venray";"     263"
"2014";"Venray";"     264"
"2015";"Venray";"     264"
"2016";"Venray";"     265"
"2017";"Venray";"     267"
"2018";"Venray";"     265"
"2019";"Venray";"     265"
"2020";"Venray";"     267"
"2021";"Venray";"     268"
"2022";"Venray";"     269"
"2023";"Venray";"     273"
"2024";"Venray";"     274"
"2025";"Venray";""
"1995";"Vessem, Wintelre en Knegsel";"     111"
"1996";"Vessem, Wintelre en Knegsel";"     111"
"1997";"Vessem, Wintelre en Knegsel";""
"1998";"Vessem, Wintelre en Knegsel";""
"1999";"Vessem, Wintelre en Knegsel";""
"2000";"Vessem, Wintelre en Knegsel";""
"2001";"Vessem, Wintelre en Knegsel";""
"2002";"Vessem, Wintelre en Knegsel";""
"2003";"Vessem, Wintelre en Knegsel";""
"2004";"Vessem, Wintelre en Knegsel";""
"2005";"Vessem, Wintelre en Knegsel";""
"2006";"Vessem, Wintelre en Knegsel";""
"2007";"Vessem, Wintelre en Knegsel";""
"2008";"Vessem, Wintelre en Knegsel";""
"2009";"Vessem, Wintelre en Knegsel";""
"2010";"Vessem, Wintelre en Knegsel";""
"2011";"Vessem, Wintelre en Knegsel";""
"2012";"Vessem, Wintelre en Knegsel";""
"2013";"Vessem, Wintelre en Knegsel";""
"2014";"Vessem, Wintelre en Knegsel";""
"2015";"Vessem, Wintelre en Knegsel";""
"2016";"Vessem, Wintelre en Knegsel";""
"2017";"Vessem, Wintelre en Knegsel";""
"2018";"Vessem, Wintelre en Knegsel";""
"2019";"Vessem, Wintelre en Knegsel";""
"2020";"Vessem, Wintelre en Knegsel";""
"2021";"Vessem, Wintelre en Knegsel";""
"2022";"Vessem, Wintelre en Knegsel";""
"2023";"Vessem, Wintelre en Knegsel";""
"2024";"Vessem, Wintelre en Knegsel";""
"2025";"Vessem, Wintelre en Knegsel";""
"1995";"Vianen";"     486"
"1996";"Vianen";"     487"
"1997";"Vianen";"     486"
"1998";"Vianen";"     485"
"1999";"Vianen";"     484"
"2000";"Vianen";"     485"
"2001";"Vianen";"     486"
"2002";"Vianen";"     491"
"2003";"Vianen";"     500"
"2004";"Vianen";"     503"
"2005";"Vianen";"     501"
"2006";"Vianen";"     499"
"2007";"Vianen";"     499"
"2008";"Vianen";"     498"
"2009";"Vianen";"     499"
"2010";"Vianen";"     498"
"2011";"Vianen";"     499"
"2012";"Vianen";"     499"
"2013";"Vianen";"     501"
"2014";"Vianen";"     499"
"2015";"Vianen";"     500"
"2016";"Vianen";"     498"
"2017";"Vianen";"     503"
"2018";"Vianen";"     509"
"2019";"Vianen";""
"2020";"Vianen";""
"2021";"Vianen";""
"2022";"Vianen";""
"2023";"Vianen";""
"2024";"Vianen";""
"2025";"Vianen";""
"1995";"Vierlingsbeek";"     138"
"1996";"Vierlingsbeek";"     140"
"1997";"Vierlingsbeek";"     141"
"1998";"Vierlingsbeek";""
"1999";"Vierlingsbeek";""
"2000";"Vierlingsbeek";""
"2001";"Vierlingsbeek";""
"2002";"Vierlingsbeek";""
"2003";"Vierlingsbeek";""
"2004";"Vierlingsbeek";""
"2005";"Vierlingsbeek";""
"2006";"Vierlingsbeek";""
"2007";"Vierlingsbeek";""
"2008";"Vierlingsbeek";""
"2009";"Vierlingsbeek";""
"2010";"Vierlingsbeek";""
"2011";"Vierlingsbeek";""
"2012";"Vierlingsbeek";""
"2013";"Vierlingsbeek";""
"2014";"Vierlingsbeek";""
"2015";"Vierlingsbeek";""
"2016";"Vierlingsbeek";""
"2017";"Vierlingsbeek";""
"2018";"Vierlingsbeek";""
"2019";"Vierlingsbeek";""
"2020";"Vierlingsbeek";""
"2021";"Vierlingsbeek";""
"2022";"Vierlingsbeek";""
"2023";"Vierlingsbeek";""
"2024";"Vierlingsbeek";""
"2025";"Vierlingsbeek";""
"1995";"Vijfheerenlanden";""
"1996";"Vijfheerenlanden";""
"1997";"Vijfheerenlanden";""
"1998";"Vijfheerenlanden";""
"1999";"Vijfheerenlanden";""
"2000";"Vijfheerenlanden";""
"2001";"Vijfheerenlanden";""
"2002";"Vijfheerenlanden";""
"2003";"Vijfheerenlanden";""
"2004";"Vijfheerenlanden";""
"2005";"Vijfheerenlanden";""
"2006";"Vijfheerenlanden";""
"2007";"Vijfheerenlanden";""
"2008";"Vijfheerenlanden";""
"2009";"Vijfheerenlanden";""
"2010";"Vijfheerenlanden";""
"2011";"Vijfheerenlanden";""
"2012";"Vijfheerenlanden";""
"2013";"Vijfheerenlanden";""
"2014";"Vijfheerenlanden";""
"2015";"Vijfheerenlanden";""
"2016";"Vijfheerenlanden";""
"2017";"Vijfheerenlanden";""
"2018";"Vijfheerenlanden";""
"2019";"Vijfheerenlanden";"     381"
"2020";"Vijfheerenlanden";"     388"
"2021";"Vijfheerenlanden";"     395"
"2022";"Vijfheerenlanden";"     402"
"2023";"Vijfheerenlanden";"     411"
"2024";"Vijfheerenlanden";"     422"
"2025";"Vijfheerenlanden";""
"1995";"Vlaardingen";"    3085"
"1996";"Vlaardingen";"    3097"
"1997";"Vlaardingen";"    3123"
"1998";"Vlaardingen";"    3118"
"1999";"Vlaardingen";"    3097"
"2000";"Vlaardingen";"    3088"
"2001";"Vlaardingen";"    3094"
"2002";"Vlaardingen";"    3105"
"2003";"Vlaardingen";"    3128"
"2004";"Vlaardingen";"    3117"
"2005";"Vlaardingen";"    3089"
"2006";"Vlaardingen";"    3063"
"2007";"Vlaardingen";"    3017"
"2008";"Vlaardingen";"    2992"
"2009";"Vlaardingen";"    2977"
"2010";"Vlaardingen";"    2981"
"2011";"Vlaardingen";"    3015"
"2012";"Vlaardingen";"    3005"
"2013";"Vlaardingen";"    2999"
"2014";"Vlaardingen";"    3002"
"2015";"Vlaardingen";"    3031"
"2016";"Vlaardingen";"    3038"
"2017";"Vlaardingen";"    3046"
"2018";"Vlaardingen";"    3057"
"2019";"Vlaardingen";"    3072"
"2020";"Vlaardingen";"    3114"
"2021";"Vlaardingen";"    3137"
"2022";"Vlaardingen";"    3174"
"2023";"Vlaardingen";"    3214"
"2024";"Vlaardingen";"    3270"
"2025";"Vlaardingen";""
"1995";"Vlagtwedde";"      94"
"1996";"Vlagtwedde";"      94"
"1997";"Vlagtwedde";"      94"
"1998";"Vlagtwedde";"      95"
"1999";"Vlagtwedde";"      96"
"2000";"Vlagtwedde";"      97"
"2001";"Vlagtwedde";"      97"
"2002";"Vlagtwedde";"      98"
"2003";"Vlagtwedde";"      99"
"2004";"Vlagtwedde";"     101"
"2005";"Vlagtwedde";"      99"
"2006";"Vlagtwedde";"      99"
"2007";"Vlagtwedde";"      99"
"2008";"Vlagtwedde";"      97"
"2009";"Vlagtwedde";"      97"
"2010";"Vlagtwedde";"      97"
"2011";"Vlagtwedde";"      97"
"2012";"Vlagtwedde";"      97"
"2013";"Vlagtwedde";"      96"
"2014";"Vlagtwedde";"      95"
"2015";"Vlagtwedde";"      97"
"2016";"Vlagtwedde";"      98"
"2017";"Vlagtwedde";"      95"
"2018";"Vlagtwedde";""
"2019";"Vlagtwedde";""
"2020";"Vlagtwedde";""
"2021";"Vlagtwedde";""
"2022";"Vlagtwedde";""
"2023";"Vlagtwedde";""
"2024";"Vlagtwedde";""
"2025";"Vlagtwedde";""
"1995";"Vledder";"      80"
"1996";"Vledder";"      83"
"1997";"Vledder";"      85"
"1998";"Vledder";""
"1999";"Vledder";""
"2000";"Vledder";""
"2001";"Vledder";""
"2002";"Vledder";""
"2003";"Vledder";""
"2004";"Vledder";""
"2005";"Vledder";""
"2006";"Vledder";""
"2007";"Vledder";""
"2008";"Vledder";""
"2009";"Vledder";""
"2010";"Vledder";""
"2011";"Vledder";""
"2012";"Vledder";""
"2013";"Vledder";""
"2014";"Vledder";""
"2015";"Vledder";""
"2016";"Vledder";""
"2017";"Vledder";""
"2018";"Vledder";""
"2019";"Vledder";""
"2020";"Vledder";""
"2021";"Vledder";""
"2022";"Vledder";""
"2023";"Vledder";""
"2024";"Vledder";""
"2025";"Vledder";""
"1995";"Vleuten-De Meern";"     584"
"1996";"Vleuten-De Meern";"     610"
"1997";"Vleuten-De Meern";"     657"
"1998";"Vleuten-De Meern";"     700"
"1999";"Vleuten-De Meern";"     704"
"2000";"Vleuten-De Meern";"     731"
"2001";"Vleuten-De Meern";""
"2002";"Vleuten-De Meern";""
"2003";"Vleuten-De Meern";""
"2004";"Vleuten-De Meern";""
"2005";"Vleuten-De Meern";""
"2006";"Vleuten-De Meern";""
"2007";"Vleuten-De Meern";""
"2008";"Vleuten-De Meern";""
"2009";"Vleuten-De Meern";""
"2010";"Vleuten-De Meern";""
"2011";"Vleuten-De Meern";""
"2012";"Vleuten-De Meern";""
"2013";"Vleuten-De Meern";""
"2014";"Vleuten-De Meern";""
"2015";"Vleuten-De Meern";""
"2016";"Vleuten-De Meern";""
"2017";"Vleuten-De Meern";""
"2018";"Vleuten-De Meern";""
"2019";"Vleuten-De Meern";""
"2020";"Vleuten-De Meern";""
"2021";"Vleuten-De Meern";""
"2022";"Vleuten-De Meern";""
"2023";"Vleuten-De Meern";""
"2024";"Vleuten-De Meern";""
"2025";"Vleuten-De Meern";""
"1995";"Vlieland";"      28"
"1996";"Vlieland";"      28"
"1997";"Vlieland";"      29"
"1998";"Vlieland";"      28"
"1999";"Vlieland";"      28"
"2000";"Vlieland";"      30"
"2001";"Vlieland";"      30"
"2002";"Vlieland";"      29"
"2003";"Vlieland";"      31"
"2004";"Vlieland";"      29"
"2005";"Vlieland";"      28"
"2006";"Vlieland";"      31"
"2007";"Vlieland";"      31"
"2008";"Vlieland";"      31"
"2009";"Vlieland";"      32"
"2010";"Vlieland";"      32"
"2011";"Vlieland";"      32"
"2012";"Vlieland";"      31"
"2013";"Vlieland";"      31"
"2014";"Vlieland";"      31"
"2015";"Vlieland";"      31"
"2016";"Vlieland";"      31"
"2017";"Vlieland";"      31"
"2018";"Vlieland";"      29"
"2019";"Vlieland";"      29"
"2020";"Vlieland";"      30"
"2021";"Vlieland";"      31"
"2022";"Vlieland";"      29"
"2023";"Vlieland";"      31"
"2024";"Vlieland";"      30"
"2025";"Vlieland";""
"1995";"Vlijmen";"     675"
"1996";"Vlijmen";"     649"
"1997";"Vlijmen";""
"1998";"Vlijmen";""
"1999";"Vlijmen";""
"2000";"Vlijmen";""
"2001";"Vlijmen";""
"2002";"Vlijmen";""
"2003";"Vlijmen";""
"2004";"Vlijmen";""
"2005";"Vlijmen";""
"2006";"Vlijmen";""
"2007";"Vlijmen";""
"2008";"Vlijmen";""
"2009";"Vlijmen";""
"2010";"Vlijmen";""
"2011";"Vlijmen";""
"2012";"Vlijmen";""
"2013";"Vlijmen";""
"2014";"Vlijmen";""
"2015";"Vlijmen";""
"2016";"Vlijmen";""
"2017";"Vlijmen";""
"2018";"Vlijmen";""
"2019";"Vlijmen";""
"2020";"Vlijmen";""
"2021";"Vlijmen";""
"2022";"Vlijmen";""
"2023";"Vlijmen";""
"2024";"Vlijmen";""
"2025";"Vlijmen";""
"1995";"Vlissingen";"    1293"
"1996";"Vlissingen";"    1290"
"1997";"Vlissingen";"    1304"
"1998";"Vlissingen";"    1309"
"1999";"Vlissingen";"    1303"
"2000";"Vlissingen";"    1296"
"2001";"Vlissingen";"    1309"
"2002";"Vlissingen";"    1328"
"2003";"Vlissingen";"    1324"
"2004";"Vlissingen";"    1325"
"2005";"Vlissingen";"    1329"
"2006";"Vlissingen";"    1320"
"2007";"Vlissingen";"    1318"
"2008";"Vlissingen";"    1312"
"2009";"Vlissingen";"    1309"
"2010";"Vlissingen";"    1307"
"2011";"Vlissingen";"    1303"
"2012";"Vlissingen";"    1302"
"2013";"Vlissingen";"    1300"
"2014";"Vlissingen";"    1300"
"2015";"Vlissingen";"    1301"
"2016";"Vlissingen";"    1298"
"2017";"Vlissingen";"    1296"
"2018";"Vlissingen";"    1296"
"2019";"Vlissingen";"    1293"
"2020";"Vlissingen";"    1293"
"2021";"Vlissingen";"    1293"
"2022";"Vlissingen";"    1297"
"2023";"Vlissingen";"    1314"
"2024";"Vlissingen";"    1321"
"2025";"Vlissingen";""
"1995";"Vlist";"     182"
"1996";"Vlist";"     184"
"1997";"Vlist";"     184"
"1998";"Vlist";"     185"
"1999";"Vlist";"     185"
"2000";"Vlist";"     184"
"2001";"Vlist";"     184"
"2002";"Vlist";"     184"
"2003";"Vlist";"     182"
"2004";"Vlist";"     182"
"2005";"Vlist";"     182"
"2006";"Vlist";"     183"
"2007";"Vlist";"     182"
"2008";"Vlist";"     183"
"2009";"Vlist";"     182"
"2010";"Vlist";"     181"
"2011";"Vlist";"     183"
"2012";"Vlist";"     182"
"2013";"Vlist";"     181"
"2014";"Vlist";"     180"
"2015";"Vlist";""
"2016";"Vlist";""
"2017";"Vlist";""
"2018";"Vlist";""
"2019";"Vlist";""
"2020";"Vlist";""
"2021";"Vlist";""
"2022";"Vlist";""
"2023";"Vlist";""
"2024";"Vlist";""
"2025";"Vlist";""
"1995";"Voerendaal";"     418"
"1996";"Voerendaal";"     416"
"1997";"Voerendaal";"     416"
"1998";"Voerendaal";"     416"
"1999";"Voerendaal";"     414"
"2000";"Voerendaal";"     414"
"2001";"Voerendaal";"     417"
"2002";"Voerendaal";"     417"
"2003";"Voerendaal";"     415"
"2004";"Voerendaal";"     412"
"2005";"Voerendaal";"     411"
"2006";"Voerendaal";"     411"
"2007";"Voerendaal";"     407"
"2008";"Voerendaal";"     405"
"2009";"Voerendaal";"     404"
"2010";"Voerendaal";"     403"
"2011";"Voerendaal";"     402"
"2012";"Voerendaal";"     402"
"2013";"Voerendaal";"     400"
"2014";"Voerendaal";"     395"
"2015";"Voerendaal";"     393"
"2016";"Voerendaal";"     396"
"2017";"Voerendaal";"     395"
"2018";"Voerendaal";"     393"
"2019";"Voerendaal";"     395"
"2020";"Voerendaal";"     396"
"2021";"Voerendaal";"     396"
"2022";"Voerendaal";"     394"
"2023";"Voerendaal";"     394"
"2024";"Voerendaal";"     393"
"2025";"Voerendaal";""
"1995";"Voorburg";"    6382"
"1996";"Voorburg";"    6335"
"1997";"Voorburg";"    6307"
"1998";"Voorburg";"    6266"
"1999";"Voorburg";"    6178"
"2000";"Voorburg";"    6169"
"2001";"Voorburg";"    6195"
"2002";"Voorburg";""
"2003";"Voorburg";""
"2004";"Voorburg";""
"2005";"Voorburg";""
"2006";"Voorburg";""
"2007";"Voorburg";""
"2008";"Voorburg";""
"2009";"Voorburg";""
"2010";"Voorburg";""
"2011";"Voorburg";""
"2012";"Voorburg";""
"2013";"Voorburg";""
"2014";"Voorburg";""
"2015";"Voorburg";""
"2016";"Voorburg";""
"2017";"Voorburg";""
"2018";"Voorburg";""
"2019";"Voorburg";""
"2020";"Voorburg";""
"2021";"Voorburg";""
"2022";"Voorburg";""
"2023";"Voorburg";""
"2024";"Voorburg";""
"2025";"Voorburg";""
"1995";"Voorhout";"     925"
"1996";"Voorhout";"     953"
"1997";"Voorhout";"     968"
"1998";"Voorhout";"     986"
"1999";"Voorhout";"    1040"
"2000";"Voorhout";"    1105"
"2001";"Voorhout";"    1133"
"2002";"Voorhout";"    1167"
"2003";"Voorhout";"    1178"
"2004";"Voorhout";"    1206"
"2005";"Voorhout";"    1217"
"2006";"Voorhout";""
"2007";"Voorhout";""
"2008";"Voorhout";""
"2009";"Voorhout";""
"2010";"Voorhout";""
"2011";"Voorhout";""
"2012";"Voorhout";""
"2013";"Voorhout";""
"2014";"Voorhout";""
"2015";"Voorhout";""
"2016";"Voorhout";""
"2017";"Voorhout";""
"2018";"Voorhout";""
"2019";"Voorhout";""
"2020";"Voorhout";""
"2021";"Voorhout";""
"2022";"Voorhout";""
"2023";"Voorhout";""
"2024";"Voorhout";""
"2025";"Voorhout";""
"1995";"Voorne aan Zee";""
"1996";"Voorne aan Zee";""
"1997";"Voorne aan Zee";""
"1998";"Voorne aan Zee";""
"1999";"Voorne aan Zee";""
"2000";"Voorne aan Zee";""
"2001";"Voorne aan Zee";""
"2002";"Voorne aan Zee";""
"2003";"Voorne aan Zee";""
"2004";"Voorne aan Zee";""
"2005";"Voorne aan Zee";""
"2006";"Voorne aan Zee";""
"2007";"Voorne aan Zee";""
"2008";"Voorne aan Zee";""
"2009";"Voorne aan Zee";""
"2010";"Voorne aan Zee";""
"2011";"Voorne aan Zee";""
"2012";"Voorne aan Zee";""
"2013";"Voorne aan Zee";""
"2014";"Voorne aan Zee";""
"2015";"Voorne aan Zee";""
"2016";"Voorne aan Zee";""
"2017";"Voorne aan Zee";""
"2018";"Voorne aan Zee";""
"2019";"Voorne aan Zee";""
"2020";"Voorne aan Zee";""
"2021";"Voorne aan Zee";""
"2022";"Voorne aan Zee";""
"2023";"Voorne aan Zee";"     607"
"2024";"Voorne aan Zee";"     610"
"2025";"Voorne aan Zee";""
"1995";"Voorschoten";"    2022"
"1996";"Voorschoten";"    2026"
"1997";"Voorschoten";"    2045"
"1998";"Voorschoten";"    2046"
"1999";"Voorschoten";"    2036"
"2000";"Voorschoten";"    2023"
"2001";"Voorschoten";"    2020"
"2002";"Voorschoten";"    2014"
"2003";"Voorschoten";"    2010"
"2004";"Voorschoten";"    2007"
"2005";"Voorschoten";"    2026"
"2006";"Voorschoten";"    2040"
"2007";"Voorschoten";"    2031"
"2008";"Voorschoten";"    2038"
"2009";"Voorschoten";"    2058"
"2010";"Voorschoten";"    2100"
"2011";"Voorschoten";"    2139"
"2012";"Voorschoten";"    2179"
"2013";"Voorschoten";"    2210"
"2014";"Voorschoten";"    2237"
"2015";"Voorschoten";"    2254"
"2016";"Voorschoten";"    2258"
"2017";"Voorschoten";"    2267"
"2018";"Voorschoten";"    2284"
"2019";"Voorschoten";"    2287"
"2020";"Voorschoten";"    2297"
"2021";"Voorschoten";"    2302"
"2022";"Voorschoten";"    2306"
"2023";"Voorschoten";"    2309"
"2024";"Voorschoten";"    2306"
"2025";"Voorschoten";""
"1995";"Voorst";"     193"
"1996";"Voorst";"     193"
"1997";"Voorst";"     193"
"1998";"Voorst";"     192"
"1999";"Voorst";"     192"
"2000";"Voorst";"     192"
"2001";"Voorst";"     192"
"2002";"Voorst";"     193"
"2003";"Voorst";"     192"
"2004";"Voorst";"     192"
